Datetime,Predicted_MW
2024-07-24 00:00:00,24741.58
2024-07-24 00:30:00,24771.531
2024-07-24 01:00:00,24873.182
2024-07-24 01:30:00,24874.5
2024-07-24 02:00:00,24884.82
2024-07-24 02:30:00,24909.385
2024-07-24 03:00:00,25014.195
2024-07-24 03:30:00,25189.34
2024-07-24 04:00:00,25462.207
2024-07-24 04:30:00,25822.525
2024-07-24 05:00:00,26264.58
2024-07-24 05:30:00,26739.97
2024-07-24 06:00:00,27248.734
2024-07-24 06:30:00,27736.611
2024-07-24 07:00:00,28200.344
2024-07-24 07:30:00,28863.053
2024-07-24 08:00:00,29329.715
2024-07-24 08:30:00,29889.797
2024-07-24 09:00:00,30082.537
2024-07-24 09:30:00,30200.115
2024-07-24 10:00:00,30088.273
2024-07-24 10:30:00,30016.9
2024-07-24 11:00:00,29861.23
2024-07-24 11:30:00,29747.27
2024-07-24 12:00:00,29609.668
2024-07-24 12:30:00,29517.918
2024-07-24 13:00:00,29429.162
2024-07-24 13:30:00,29314.406
2024-07-24 14:00:00,29234.041
2024-07-24 14:30:00,29155.125
2024-07-24 15:00:00,29126.92
2024-07-24 15:30:00,29042.604
2024-07-24 16:00:00,29020.916
2024-07-24 16:30:00,28938.258
2024-07-24 17:00:00,28925.592
2024-07-24 17:30:00,28777.79
2024-07-24 18:00:00,28711.48
2024-07-24 18:30:00,28544.303
2024-07-24 19:00:00,28447.6
2024-07-24 19:30:00,28323.078
2024-07-24 20:00:00,28209.062
2024-07-24 20:30:00,28017.086
2024-07-24 21:00:00,27772.729
2024-07-24 21:30:00,27442.479
2024-07-24 22:00:00,27059.418
2024-07-24 22:30:00,26602.799
2024-07-24 23:00:00,26131.67
2024-07-24 23:30:00,25608.62
2024-07-25 00:00:00,25082.303
2024-07-25 00:30:00,24467.549
2024-07-25 01:00:00,23909.33
2024-07-25 01:30:00,23416.477
2024-07-25 02:00:00,23066.803
2024-07-25 02:30:00,22824.295
2024-07-25 03:00:00,22698.613
2024-07-25 03:30:00,22579.879
2024-07-25 04:00:00,22517.143
2024-07-25 04:30:00,22461.602
2024-07-25 05:00:00,22460.863
2024-07-25 05:30:00,22486.701
2024-07-25 06:00:00,22567.494
2024-07-25 06:30:00,22684.322
2024-07-25 07:00:00,22845.797
2024-07-25 07:30:00,23492.143
2024-07-25 08:00:00,24219.982
2024-07-25 08:30:00,25613.06
2024-07-25 09:00:00,27046.59
2024-07-25 09:30:00,28473.822
2024-07-25 10:00:00,29326.82
2024-07-25 10:30:00,29674.033
2024-07-25 11:00:00,29562.016
2024-07-25 11:30:00,29408.91
2024-07-25 12:00:00,29248.77
2024-07-25 12:30:00,29116.307
2024-07-25 13:00:00,29056.271
2024-07-25 13:30:00,29079.754
2024-07-25 14:00:00,29161.514
2024-07-25 14:30:00,29135.486
2024-07-25 15:00:00,29167.047
2024-07-25 15:30:00,29146.105
2024-07-25 16:00:00,29188.615
2024-07-25 16:30:00,29143.617
2024-07-25 17:00:00,29141.611
2024-07-25 17:30:00,29025.2
2024-07-25 18:00:00,28945.705
2024-07-25 18:30:00,28745.156
2024-07-25 19:00:00,28574.424
2024-07-25 19:30:00,28369.555
2024-07-25 20:00:00,28163.398
2024-07-25 20:30:00,27881.59
2024-07-25 21:00:00,27546.334
2024-07-25 21:30:00,27123.201
2024-07-25 22:00:00,26665.469
2024-07-25 22:30:00,26160.533
2024-07-25 23:00:00,25651.82
2024-07-25 23:30:00,25091.037
2024-07-26 00:00:00,24541.217
2024-07-26 00:30:00,23998.63
2024-07-26 01:00:00,23537.498
2024-07-26 01:30:00,23137.764
2024-07-26 02:00:00,22877.252
2024-07-26 02:30:00,22732.215
2024-07-26 03:00:00,22677.514
