Datetime,Predicted_MW
7/5/2024 14:00,29408.857
7/5/2024 14:30,28728.994
7/5/2024 15:00,28525.225
7/5/2024 15:30,28324.918
7/5/2024 16:00,28432.3
7/5/2024 16:30,27918.475
7/5/2024 17:00,27751.438
7/5/2024 17:30,27805.195
7/5/2024 18:00,28534.197
7/5/2024 18:30,28727.623
7/5/2024 19:00,28118.455
7/5/2024 19:30,27997.158
7/5/2024 20:00,28004.113
7/5/2024 20:30,27614.19
7/5/2024 21:00,27436.035
7/5/2024 21:30,26962.916
7/5/2024 22:00,26503.535
7/5/2024 22:30,25886.271
7/5/2024 23:00,25390.637
7/5/2024 23:30,24846.996
7/5/2024 23:59,24359.295
7/6/2024 0:30,23892.549
7/6/2024 1:00,23719.191
7/6/2024 1:30,23391.412
7/6/2024 2:00,23303.742
7/6/2024 2:30,23143.592
7/6/2024 3:00,22797.113
7/6/2024 3:30,22625.436
7/6/2024 4:00,22638.91
7/6/2024 4:30,22611.41
7/6/2024 5:00,23142.8
7/6/2024 5:30,23560.408
7/6/2024 6:00,23910.037
7/6/2024 6:30,23682.602
7/6/2024 7:00,23263.47
7/6/2024 7:30,23318.895
7/6/2024 8:00,23913.324
7/6/2024 8:30,24739.611
7/6/2024 9:00,25531.467
7/6/2024 9:30,25898.1
7/6/2024 10:00,26080.229
7/6/2024 10:30,26367.504
7/6/2024 11:00,26184.475
7/6/2024 11:30,26029.023
7/6/2024 12:00,25785.812
7/6/2024 12:30,24788.855
7/6/2024 13:00,24525.434
7/6/2024 13:30,24663.682
7/6/2024 14:00,25088.107
7/6/2024 14:30,24773.924
7/6/2024 15:00,24566.453
7/6/2024 15:30,24344.992
7/6/2024 16:00,24480.084
7/6/2024 16:30,24025.55
7/6/2024 17:00,24262.45
7/6/2024 17:30,24580.607
7/6/2024 18:00,25458.162
7/6/2024 18:30,26012.467
7/6/2024 19:00,25559.523
7/6/2024 19:30,25119.566
7/6/2024 20:00,25004.734
7/6/2024 20:30,24678.758
7/6/2024 21:00,24433.422
7/6/2024 21:30,23917.236
7/6/2024 22:00,23445.246
7/6/2024 22:30,22783.371
7/6/2024 23:00,22287.244
7/6/2024 23:30,21804.816
7/6/2024 23:59,21453.72
7/7/2024 0:30,21097.785
7/7/2024 1:00,20814.512
7/7/2024 1:30,20702.316
7/7/2024 2:00,20577.361
7/7/2024 2:30,20452.785
7/7/2024 3:00,20233.629
7/7/2024 3:30,20002.336
7/7/2024 4:00,19949.9
7/7/2024 4:30,20049.148
7/7/2024 5:00,20374.531
7/7/2024 5:30,20716.748
7/7/2024 6:00,21052.568
7/7/2024 6:30,20618.959
7/7/2024 7:00,19932.248
7/7/2024 7:30,19969.055
7/7/2024 8:00,19893.709
7/7/2024 8:30,20378.062
7/7/2024 9:00,20598.578
7/7/2024 9:30,20778.582
7/7/2024 10:00,20794.05
7/7/2024 10:30,21037.03
7/7/2024 11:00,20983.479
7/7/2024 11:30,21043.777
7/7/2024 12:00,21019.824
7/7/2024 12:30,20738.03
7/7/2024 13:00,20804.021
7/7/2024 13:30,20994.424
7/7/2024 14:00,21438.02
7/7/2024 14:30,21313.82
7/7/2024 15:00,21455.404
7/7/2024 15:30,21600.203
7/7/2024 16:00,21899.758
7/7/2024 16:30,22004.625
7/7/2024 17:00,22311.234
7/7/2024 17:30,22493.105
7/7/2024 18:00,23647.662
7/7/2024 18:30,25155.855
7/7/2024 19:00,24927.885
7/7/2024 19:30,24405.348
7/7/2024 20:00,24254.049
7/7/2024 20:30,23938.652
7/7/2024 21:00,23825.943
7/7/2024 21:30,23646.07
7/7/2024 22:00,23112.447
7/7/2024 22:30,22476.71
7/7/2024 23:00,22064.45
7/7/2024 23:30,21776.594
7/7/2024 23:59,21440.816
7/8/2024 0:30,20980.506
7/8/2024 1:00,20874.477
7/8/2024 1:30,20811.668
7/8/2024 2:00,20621.82
7/8/2024 2:30,20442.742
7/8/2024 3:00,20273.668
7/8/2024 3:30,20115.51
7/8/2024 4:00,20147.215
7/8/2024 4:30,20241.658
7/8/2024 5:00,20773.387
7/8/2024 5:30,21465.283
7/8/2024 6:00,22175.225
7/8/2024 6:30,22290.174
7/8/2024 7:00,22695.78
7/8/2024 7:30,23776.107
7/8/2024 8:00,25299.69
7/8/2024 8:30,26559.682
7/8/2024 9:00,27567.678
7/8/2024 9:30,28037.988
7/8/2024 10:00,28253.285
7/8/2024 10:30,28632.932
7/8/2024 11:00,28701.523
7/8/2024 11:30,28670.713
7/8/2024 12:00,28504.744
7/8/2024 12:30,27646.088
7/8/2024 13:00,27742.266
7/8/2024 13:30,28622.973
7/8/2024 14:00,29371.709
7/8/2024 14:30,28781.684
7/8/2024 15:00,28931.072
7/8/2024 15:30,28856.727
7/8/2024 16:00,29052.906
7/8/2024 16:30,28514.725
7/8/2024 17:00,28544.986
7/8/2024 17:30,28420.402
7/8/2024 18:00,28895.682
7/8/2024 18:30,29185.271
7/8/2024 19:00,28649.795
7/8/2024 19:30,28435.77
7/8/2024 20:00,28431.064
7/8/2024 20:30,27876.895
7/8/2024 21:00,27526.217
7/8/2024 21:30,27024.53
7/8/2024 22:00,26520.963
7/8/2024 22:30,25790.158
7/8/2024 23:00,25480.621
7/8/2024 23:30,24746.127
7/8/2024 23:59,24259.586
7/9/2024 0:30,24080.41
7/9/2024 1:00,23895.352
7/9/2024 1:30,23606.766
7/9/2024 2:00,23473.377
7/9/2024 2:30,23396.818
7/9/2024 3:00,23304.752
7/9/2024 3:30,23015.541
7/9/2024 4:00,22994.17
7/9/2024 4:30,22876.936
7/9/2024 5:00,23386.484
7/9/2024 5:30,24111.156
7/9/2024 6:00,24788.213
7/9/2024 6:30,24693.354
7/9/2024 7:00,24668.184
7/9/2024 7:30,25388.996
7/9/2024 8:00,26654.248
7/9/2024 8:30,27648.895
7/9/2024 9:00,28371.838
7/9/2024 9:30,28721.988
7/9/2024 10:00,28813.139
7/9/2024 10:30,29023.473
7/9/2024 11:00,29110.068
7/9/2024 11:30,29078.758
7/9/2024 12:00,28795.822
7/9/2024 12:30,27964.059
7/9/2024 13:00,28224.123
7/9/2024 13:30,29094.736
7/9/2024 14:00,29672.676
7/9/2024 14:30,29319.354
7/9/2024 15:00,29238.834
7/9/2024 15:30,28972.854
7/9/2024 16:00,29270.258
7/9/2024 16:30,28753.076
7/9/2024 17:00,28614.512
7/9/2024 17:30,28610.66
7/9/2024 18:00,29203.898
7/9/2024 18:30,29563.666
7/9/2024 19:00,28967.379
7/9/2024 19:30,28796.775
7/9/2024 20:00,28722.72
7/9/2024 20:30,28445.113
7/9/2024 21:00,28159.01
7/9/2024 21:30,27640.787
7/9/2024 22:00,27210.049
7/9/2024 22:30,26386.738
7/9/2024 23:00,25977.133
7/9/2024 23:30,25364.084
7/9/2024 23:59,24938.406
7/10/2024 0:30,24403.594
7/10/2024 1:00,24134.63
7/10/2024 1:30,23867.098
7/10/2024 2:00,23872.195
7/10/2024 2:30,23648.65
7/10/2024 3:00,23425.512
7/10/2024 3:30,23209.08
7/10/2024 4:00,23372.473
7/10/2024 4:30,23444.814
7/10/2024 5:00,23885.602
7/10/2024 5:30,24466.912
7/10/2024 6:00,25169.559
7/10/2024 6:30,25052.428
7/10/2024 7:00,24898.455
7/10/2024 7:30,25840.482
7/10/2024 8:00,26952.93
7/10/2024 8:30,28136.352
7/10/2024 9:00,28696.902
7/10/2024 9:30,29048.877
7/10/2024 10:00,28982.13
7/10/2024 10:30,29305.232
7/10/2024 11:00,29271.863
7/10/2024 11:30,29194.414
7/10/2024 12:00,28991.697
7/10/2024 12:30,28025.72
7/10/2024 13:00,28288.787
7/10/2024 13:30,29041.91
7/10/2024 14:00,29815.066
7/10/2024 14:30,29349.232
7/10/2024 15:00,29200.707
7/10/2024 15:30,29170.361
7/10/2024 16:00,29236.705
7/10/2024 16:30,28662.273
7/10/2024 17:00,28804.06
7/10/2024 17:30,28450.385
7/10/2024 18:00,29278.514
7/10/2024 18:30,29414.766
7/10/2024 19:00,29011.004
7/10/2024 19:30,28748.584
7/10/2024 20:00,28766.662
7/10/2024 20:30,28445.848
7/10/2024 21:00,28266.486
7/10/2024 21:30,27804.264
7/10/2024 22:00,27302.898
7/10/2024 22:30,26349.12
7/10/2024 23:00,26051.916
7/10/2024 23:30,25403.129
7/10/2024 23:59,25101.078
7/11/2024 0:30,24617.08
7/11/2024 1:00,24277.623
7/11/2024 1:30,24166.314
7/11/2024 2:00,24124.629
7/11/2024 2:30,23962.771
7/11/2024 3:00,23744.752
7/11/2024 3:30,23556.158
7/11/2024 4:00,23489.996
7/11/2024 4:30,23685.99
7/11/2024 5:00,24279.691
7/11/2024 5:30,24705.13
7/11/2024 6:00,25267.83
7/11/2024 6:30,24917.088
7/11/2024 7:00,24620.174
7/11/2024 7:30,25545.428
7/11/2024 8:00,26844.041
7/11/2024 8:30,27860.379
7/11/2024 9:00,28495.072
7/11/2024 9:30,28653.592
7/11/2024 10:00,28855.129
7/11/2024 10:30,29217.72
7/11/2024 11:00,29076.184
7/11/2024 11:30,29215.783
7/11/2024 12:00,28722.459
7/11/2024 12:30,27912.248
7/11/2024 13:00,28174.834
7/11/2024 13:30,28992.273
7/11/2024 14:00,29752.559
7/11/2024 14:30,29219.1
7/11/2024 15:00,29230.875
7/11/2024 15:30,29154.316
7/11/2024 16:00,29295.111
7/11/2024 16:30,28711.092
7/11/2024 17:00,28611.375
7/11/2024 17:30,28472.695
7/11/2024 18:00,29100.098
7/11/2024 18:30,29654.193
7/11/2024 19:00,29061.299
7/11/2024 19:30,28794.127
7/11/2024 20:00,28681.531
7/11/2024 20:30,28279.021
7/11/2024 21:00,28282.709
7/11/2024 21:30,27759.45
7/11/2024 22:00,27045.895
7/11/2024 22:30,26515.195
7/11/2024 23:00,26125.86
7/11/2024 23:30,25408.053
7/11/2024 23:59,24986.736
7/12/2024 0:30,24558.922
7/12/2024 1:00,24352.521
7/12/2024 1:30,24056.107
7/12/2024 2:00,24002.26
7/12/2024 2:30,23717.414
7/12/2024 3:00,23532.771
7/12/2024 3:30,23390.992
7/12/2024 4:00,23445.676
7/12/2024 4:30,23326.371
7/12/2024 5:00,23939.047
7/12/2024 5:30,24521.54
7/12/2024 6:00,24997.268
7/12/2024 6:30,24865.299
7/12/2024 7:00,24744.572
7/12/2024 7:30,25326
7/12/2024 8:00,26492.547
7/12/2024 8:30,27529.637
7/12/2024 9:00,28348.994
7/12/2024 9:30,28685.607
7/12/2024 10:00,28739.89
7/12/2024 10:30,29035.525
7/12/2024 11:00,29090.527
7/12/2024 11:30,28845.45
7/12/2024 12:00,27912.516
7/12/2024 12:30,26693.955
7/12/2024 13:00,26890.098
7/12/2024 13:30,28601.621
7/12/2024 14:00,29568.773
7/12/2024 14:30,28891.676
7/12/2024 15:00,28826.383
7/12/2024 15:30,28728.29
7/12/2024 16:00,28932.994
7/12/2024 16:30,28484.502
7/12/2024 17:00,28380.633
7/12/2024 17:30,28026.81
7/12/2024 18:00,28641.574
7/12/2024 18:30,29233.217
7/12/2024 19:00,28728.586
7/12/2024 19:30,28327.63
7/12/2024 20:00,28397.742
7/12/2024 20:30,27984.557
7/12/2024 21:00,27634.477
7/12/2024 21:30,27188.184
7/12/2024 22:00,26579.016
7/12/2024 22:30,25940.867
7/12/2024 23:00,25541.307
7/12/2024 23:30,25212.143
7/12/2024 23:59,24564.248
7/13/2024 0:30,23953.94
7/13/2024 1:00,23726.727
7/13/2024 1:30,23507.906
7/13/2024 2:00,23429.365
7/13/2024 2:30,23241.14
7/13/2024 3:00,22992.223
7/13/2024 3:30,22727.336
7/13/2024 4:00,22736.744
7/13/2024 4:30,22886.35
7/13/2024 5:00,23269.176
7/13/2024 5:30,23753.865
7/13/2024 6:00,24113.375
7/13/2024 6:30,23704.102
7/13/2024 7:00,23308.203
7/13/2024 7:30,23490.541
7/13/2024 8:00,24137.03
7/13/2024 8:30,25013.088
7/13/2024 9:00,25832.033
7/13/2024 9:30,26138.168
7/13/2024 10:00,26095.363
7/13/2024 10:30,26577.734
7/13/2024 11:00,26556.637
7/13/2024 11:30,26533.223
7/13/2024 12:00,26368.482
7/13/2024 12:30,25588.703
7/13/2024 13:00,25530.41
7/13/2024 13:30,25922.152
7/13/2024 14:00,26452.441
7/13/2024 14:30,26296.77
7/13/2024 15:00,26048.04
7/13/2024 15:30,25791.64
7/13/2024 16:00,25892.074
7/13/2024 16:30,25460.121
7/13/2024 17:00,25425.746
7/13/2024 17:30,25296.506
7/13/2024 18:00,26457.146
7/13/2024 18:30,27615.455
7/13/2024 19:00,27138.086
7/13/2024 19:30,26482.688
7/13/2024 20:00,26467.354
7/13/2024 20:30,26017.545
7/13/2024 21:00,25874.305
7/13/2024 21:30,25191.4
7/13/2024 22:00,24758.697
7/13/2024 22:30,24078.238
